gene_id,log2FoldChange,padj
Os02g0173200,1.235134,6.6e-07
Os09g0532400,-1.075090232,6.71e-07
Os02g0299200,1.829555368,7.27e-07
Os04g0542800,-1.068910476,7.37e-07
Os04g0243700,1.214666969,7.44e-07
Os01g0555200,1.00619079,7.69e-07
Os08g0468100,-1.572893408,7.83e-07
Os04g0613200,0.8083806,7.83e-07
Os06g0157000,0.753269521,7.92e-07
Os05g0482501,1.419818238,8.16e-07
Os10g0343400,-1.456103286,8.35e-07
Os01g0685100,0.983544801,8.81e-07
Os05g0200700,1.710213308,8.83e-07
Os07g0121200,3.292406862,8.85e-07
Os10g0517050,-1.289870816,9.17e-07
Os10g0377150,1.369581961,9.29e-07
Os09g0464066,-1.626753244,9.36e-07
Os01g0320400,3.447138442,9.41e-07
Os04g0585700,1.11137238,9.47e-07
Os01g0124100,-1.781907976,9.49e-07
Os06g0160700,1.33306871,9.64e-07
Os05g0542732,0.788553639,9.69e-07
Os09g0365100,-0.793769172,1.01e-06
Os11g0265200,0.731440388,1.01e-06
Os07g0528200,-1.153591118,1.04e-06
Os04g0653000,0.552656368,1.05e-06
Os04g0339400,2.819335407,1.07e-06
Os01g0665500,1.186061353,1.09e-06
Os01g0920700,0.75005333,1.09e-06
Os03g0365800,-1.173275851,1.1e-06
Os10g0554200,-1.632730481,1.11e-06
Os01g0823600,-2.551039786,1.11e-06
Os02g0158500,1.367677406,1.12e-06
Os01g0924966,1.525900274,1.14e-06
Os02g0129800,-1.68209907,1.14e-06
Os08g0189200,-0.852783925,1.15e-06
Os08g0546400,0.887574685,1.16e-06
Os01g0975900,-1.553093036,1.24e-06
Os02g0739900,1.025030562,1.29e-06
Os08g0490600,0.840071731,1.29e-06
Os04g0508000,-3.033871017,1.29e-06
Os01g0224166,4.151351402,1.29e-06
Os06g0258900,-0.651205439,1.33e-06
Os07g0694400,1.308253307,1.33e-06
Os04g0403701,-0.975005444,1.33e-06
Os02g0177900,-0.629109371,1.34e-06
Os06g0179100,1.542968478,1.36e-06
Os06g0523300,1.612424248,1.38e-06
Os01g0752500,-1.176281626,1.42e-06
Os02g0802400,0.656341764,1.42e-06
Os06g0692500,-1.236695005,1.43e-06
Os12g0282000,-7.61497263,1.44e-06
Os08g0156000,1.662759189,1.45e-06
Os09g0517000,2.253410876,1.49e-06
Os10g0486100,0.836168125,1.5e-06
Os10g0512400,1.326841388,1.51e-06
Os01g0214600,1.609295519,1.51e-06
Os06g0698711,-2.514145996,1.57e-06
Os01g0217000,0.965254878,1.58e-06
Os06g0725000,-0.917634235,1.6e-06
Os02g0775400,0.664104107,1.6e-06
Os07g0251900,1.565156353,1.61e-06
Os11g0437800,2.786271495,1.63e-06
Os03g0203200,-0.861344325,1.64e-06
Os09g0570900,0.970433231,1.67e-06
Os01g0893400,-1.247304047,1.67e-06
Os12g0453500,1.684641813,1.68e-06
Os03g0583800,-0.792863132,1.76e-06
Os02g0686800,1.989520843,1.8e-06
Os03g0736300,0.835129903,1.83e-06
Os03g0273200,3.67639457,1.84e-06
Os01g0194300,-0.623414401,1.91e-06
Os04g0371000,-1.544622636,1.92e-06
Os03g0407100,0.741288594,1.93e-06
Os11g0708100,1.258789365,1.97e-06
Os09g0115900,-1.385703908,1.99e-06
Os11g0670900,1.160158996,2e-06
Os02g0569400,-2.184905829,2.02e-06
Os08g0346900,-1.400797948,2.05e-06
Os01g0930900,2.847578721,2.09e-06
Os06g0102600,1.672195983,2.14e-06
Os05g0543600,0.907562551,2.2e-06
Os02g0782800,-1.047730281,2.2e-06
Os08g0560000,-0.963926949,2.22e-06
Os10g0528300,2.084004481,2.39e-06
Os02g0264700,-0.87764277,2.52e-06
Os03g0815200,0.858771624,2.55e-06
Os08g0511400,1.266638523,2.56e-06
Os04g0585900,3.092749838,2.57e-06
Os02g0590400,1.299178478,2.57e-06
Os08g0148267,1.196411655,2.59e-06
Os01g0202800,1.989543274,2.59e-06
Os05g0475300,-0.651555953,2.63e-06
Os01g0935200,0.992586703,2.7e-06
Os07g0287100,-1.179884552,2.71e-06
Os07g0595700,-0.852597807,2.8e-06
Os04g0494800,1.565113552,2.87e-06
Os03g0259100,1.395861612,2.94e-06
Os04g0269600,1.061420393,2.94e-06
Os04g0529100,-0.813665644,2.98e-06
Os01g0652375,-0.865458619,2.98e-06
Os01g0739400,0.916484593,3.02e-06
Os12g0460800,0.47428128,3.02e-06
Os05g0380200,-1.655046944,3.12e-06
Os12g0507400,1.352691022,3.26e-06
Os07g0645000,0.834589367,3.37e-06
Os12g0116400,-0.840568802,3.39e-06
Os08g0280600,0.672452523,3.43e-06
Os07g0207301,1.328556905,3.46e-06
Os07g0582500,1.285497124,3.57e-06
Os06g0326000,1.741654994,3.57e-06
Os06g0713800,-1.472251899,3.58e-06
Os01g0723500,2.111177926,3.75e-06
Os09g0361500,-1.496229564,3.76e-06
Os11g0693750,-1.745563626,3.77e-06
Os02g0182850,1.137089159,3.8e-06
Os09g0494200,0.821631417,3.92e-06
Os05g0179300,1.176397346,4.22e-06
Os10g0463800,-0.632732046,4.24e-06
