gene_id,log2FoldChange,padj
Os06g0470350,-2.617904215,5.3e-13
Os01g0953600,1.292420603,5.3e-13
Os02g0628200,1.466986639,5.58e-13
Os09g0491740,-1.642270135,5.72e-13
Os05g0194900,-2.649375508,6.23e-13
Os07g0599700,2.239778553,6.64e-13
Os08g0298700,3.41783895,6.94e-13
Os08g0189600,-1.462440747,7.1e-13
Os09g0115900,-1.829279375,7.81e-13
Os08g0131300,3.250881315,7.87e-13
Os03g0599000,-1.258879577,7.97e-13
Os04g0475600,-1.187038613,8.7e-13
Os03g0304100,2.397122949,9.83e-13
Os10g0204400,-1.64739908,9.94e-13
Os01g0878800,0.839575567,9.96e-13
Os12g0112000,1.845536542,1.01e-12
Os03g0179400,1.048656052,1.04e-12
Os03g0618300,-1.402723909,1.06e-12
Os03g0413100,1.193539026,1.1e-12
Os09g0460100,1.950932013,1.14e-12
Os03g0638900,1.757884843,1.15e-12
Os11g0679700,3.060078839,1.2e-12
Os09g0453800,-0.881979773,1.21e-12
Os06g0125400,1.418236751,1.24e-12
Os08g0395700,-0.773374677,1.27e-12
Os11g0291475,-1.480366787,1.33e-12
Os11g0134900,-4.237439853,1.37e-12
Os02g0177600,1.497055785,1.4e-12
Os02g0529800,3.08424195,1.42e-12
Os03g0333400,-3.207885018,1.43e-12
Os03g0641250,1.578231276,1.5e-12
Os04g0560100,1.788663346,1.55e-12
Os03g0146200,-1.201457808,1.56e-12
Os01g0202800,2.740185797,1.62e-12
Os11g0108800,1.04993914,1.92e-12
Os12g0453500,2.055804592,1.96e-12
Os01g0368000,1.549929894,1.99e-12
Os03g0576200,3.491209415,2.01e-12
Os07g0544800,-2.164677006,2.05e-12
Os01g0382450,-1.999001009,2.08e-12
Os01g0866400,-2.400899208,2.12e-12
Os05g0168500,0.969906662,2.14e-12
Os03g0126450,1.714288132,2.15e-12
Os03g0849900,1.621576824,2.28e-12
Os11g0444700,-2.285527972,2.29e-12
Os02g0751300,1.814396038,2.37e-12
Os04g0616900,-1.228670941,2.39e-12
Os05g0135700,1.165978499,2.44e-12
Os07g0654700,1.57487281,2.55e-12
Os09g0511200,3.080866383,2.57e-12
Os07g0142600,3.035201358,2.58e-12
Os03g0661600,-1.555516514,2.6e-12
Os12g0482500,1.197181604,2.68e-12
Os05g0360400,-1.164154925,3.04e-12
Os02g0822500,-0.941530858,3.09e-12
Os06g0651100,1.197742421,3.12e-12
Os06g0104900,2.622087355,3.18e-12
Os03g0624600,2.138282214,3.26e-12
Os01g0138800,-1.418748332,3.41e-12
Os12g0466200,-1.405832032,3.74e-12
Os05g0245300,1.576852134,3.81e-12
Os01g0269800,1.78294487,3.86e-12
Os06g0725000,-1.280200619,4.07e-12
Os06g0472000,-2.017873986,4.16e-12
Os03g0637600,1.61153312,4.29e-12
Os09g0376900,-0.79985384,4.37e-12
Os03g0775700,1.073968355,4.4e-12
